Dimension;Mean;Calc_mean;Variance;Calc_variance
2;1.27324;1.27303;0.378861;0.378881
3;1.33333;1.33333;0.222222;0.222234
4;1.35812;1.35813;0.155504;0.155486
5;1.37143;1.37137;0.119184;0.119182
6;1.37968;1.37963;0.096484;0.0964786
7;1.38528;1.38531;0.0809955;0.0809884
8;1.38933;1.38931;0.0697683;0.0697675
9;1.39239;1.3924;0.0612629;0.061263
10;1.39478;1.39473;0.0545995;0.0546074
11;1.3967;1.39669;0.0492398;0.0492362
12;1.39827;1.39829;0.0448359;0.0448376
13;1.39959;1.39955;0.0411537;0.0411454
14;1.4007;1.40067;0.0380295;0.0380348
15;1.40166;1.40166;0.0353454;0.035341
16;1.40249;1.40251;0.0330148;0.0330191
17;1.40322;1.40316;0.0309723;0.0309737
18;1.40386;1.40386;0.0291674;0.02917
19;1.40444;1.40444;0.0275612;0.0275606
20;1.40495;1.40492;0.0261225;0.0261249
21;1.40541;1.40538;0.0248265;0.0248261
22;1.40583;1.40581;0.0236528;0.0236516
23;1.40621;1.4062;0.0225851;0.0225837
24;1.40655;1.40655;0.0216096;0.0216107
25;1.40687;1.40686;0.0207148;0.0207142
26;1.40716;1.40715;0.0198911;0.0198904
27;1.40743;1.40742;0.0191304;0.019128
28;1.40768;1.40768;0.0184257;0.0184243
29;1.40792;1.40791;0.0177711;0.0177735
30;1.40813;1.40811;0.0171614;0.0171591
31;1.40834;1.40831;0.0165921;0.0165975
32;1.40852;1.4085;0.0160593;0.0160586
33;1.4087;1.4087;0.0155597;0.0155617
34;1.40887;1.40886;0.0150902;0.0150895
35;1.40903;1.40902;0.0146483;0.0146485
36;1.40917;1.40916;0.0142314;0.014235
37;1.40931;1.40931;0.0138377;0.01384
38;1.40944;1.40944;0.0134651;0.0134657
39;1.40957;1.40957;0.0131121;0.0131119
40;1.40969;1.40967;0.0127771;0.0127792
41;1.4098;1.40979;0.0124588;0.012459
42;1.40991;1.4099;0.0121559;0.0121569
43;1.41001;1.40999;0.0118674;0.0118704
44;1.41011;1.4101;0.0115923;0.0115942
45;1.4102;1.4102;0.0113297;0.0113325
46;1.41029;1.41028;0.0110787;0.011081
47;1.41038;1.41035;0.0108386;0.0108417
48;1.41046;1.41045;0.0106087;0.0106099
49;1.41054;1.41053;0.0103883;0.0103879
50;1.41061;1.4106;0.0101769;0.0101768
51;1.41068;1.41068;0.00997388;0.00997643
52;1.41075;1.41075;0.00977884;0.00978183
53;1.41082;1.41081;0.00959128;0.00959304
54;1.41088;1.41088;0.00941077;0.00941157
55;1.41094;1.41092;0.00923694;0.00923817
56;1.411;1.41101;0.00906941;0.00907015
57;1.41106;1.41106;0.00890784;0.00891017
58;1.41112;1.4111;0.00875194;0.00875388
59;1.41117;1.41114;0.00860139;0.0086025
60;1.41122;1.41123;0.00845594;0.00845673
61;1.41127;1.41126;0.00831532;0.00831781
62;1.41132;1.41131;0.00817931;0.00818092
63;1.41137;1.41136;0.00804767;0.00805018
64;1.41141;1.4114;0.0079202;0.0079222
65;1.41145;1.41146;0.00779671;0.00779727
66;1.4115;1.41149;0.007677;0.00767817
67;1.41154;1.41153;0.00756092;0.0075611
68;1.41158;1.41158;0.0074483;0.00745015
69;1.41162;1.41161;0.00733898;0.0073401
70;1.41165;1.41165;0.00723282;0.00723468
71;1.41169;1.41169;0.00712969;0.00713021
72;1.41173;1.41171;0.00702946;0.00702974
73;1.41176;1.41174;0.00693201;0.00693296
74;1.41179;1.41179;0.00683723;0.00683892
75;1.41183;1.41183;0.006745;0.00674691
76;1.41186;1.41186;0.00665522;0.00665755
77;1.41189;1.41189;0.00656781;0.00656987
78;1.41192;1.4119;0.00648266;0.00648517
79;1.41195;1.41194;0.00639969;0.00640133
80;1.41198;1.41197;0.00631882;0.00631939
81;1.41201;1.412;0.00623996;0.00624036
82;1.41203;1.41203;0.00616305;0.00616454
83;1.41206;1.41204;0.00608801;0.00608972
84;1.41209;1.41208;0.00601478;0.00601678
85;1.41211;1.41211;0.00594329;0.00594618
86;1.41214;1.41213;0.00587347;0.00587493
87;1.41216;1.41215;0.00580528;0.00580657
88;1.41218;1.41219;0.00573866;0.00574009
89;1.41221;1.4122;0.00567354;0.00567421
90;1.41223;1.41221;0.00560989;0.00561113
91;1.41225;1.41225;0.00554765;0.00554894
92;1.41227;1.41225;0.00548677;0.00548838
93;1.41229;1.41228;0.00542722;0.0054296
94;1.41231;1.4123;0.00536894;0.00537047
95;1.41233;1.41233;0.00531191;0.00531316
96;1.41235;1.41235;0.00525607;0.00525766
97;1.41237;1.41236;0.00520139;0.00520207
98;1.41239;1.41239;0.00514784;0.00514894
99;1.41241;1.4124;0.00509538;0.00509694